station_group_id,name,country,region,dataset,latitude,longitude,elevation_m,climate_count,_country_key,_name_key,_lat_key,_lon_key
usa|fairfield-travis.afb|38.2700|-121.9300,Fairfield-Travis.AFB,USA,CA,Custom-745160,38.27,-121.93,18.0,1,usa,fairfield-travis.afb,38.27,-121.93
usa|fairfield-travis.afb|38.2670|-121.9330,Fairfield-Travis.AFB,USA,CA,"SRC-TMYx, TRAVIS-AFB",38.267,-121.933,22.0,5,usa,fairfield-travis.afb,38.267,-121.933
usa|fairfield-travis.afb ca usa|38.2700|-121.9500,Fairfield-Travis.AFB CA USA,USA,,CTZ2022,38.27,-121.95,22.0,1,usa,fairfield-travis.afb ca usa,38.27,-121.95
usa|fairfield.muni.ap|41.0530|-91.9790,Fairfield.Muni.AP,USA,IA,"Custom-726498, SRC-TMYx",41.053,-91.979,244.0,5,usa,fairfield.muni.ap,41.053,-91.979
usa|fairfield.muni.ap|38.3790|-88.4130,Fairfield.Muni.AP,USA,IL,"Custom-744656, SRC-TMYx",38.379,-88.413,133.0,5,usa,fairfield.muni.ap,38.379,-88.413
usa|fairhope|30.5486|-87.8758,Fairhope,USA,AL,Climate-Normals,30.5486,-87.8758,29.0,1,usa,fairhope,30.5486,-87.8758
usa|fairhope|30.5490|-87.8760,Fairhope,USA,AL,"Custom-722370, SRC-TMYx",30.549,-87.876,29.0,5,usa,fairhope,30.549,-87.876
usa|fairhope-callahan.ap|30.4610|-87.8770,Fairhope-Callahan.AP,USA,AL,Custom-720592,30.461,-87.877,27.7,1,usa,fairhope-callahan.ap,30.461,-87.877
usa|fairhope-callahan.ap|30.4600|-87.8770,Fairhope-Callahan.AP,USA,AL,SRC-TMYx,30.46,-87.877,27.7,4,usa,fairhope-callahan.ap,30.46,-87.877
usa|fairmont muni ap|43.6500|-94.4170,Fairmont Muni AP,USA,MN,TMY3,43.65,-94.417,354.0,1,usa,fairmont muni ap,43.65,-94.417
usa|fairmont.muni.ap|43.6504|-94.4227,Fairmont.Muni.AP,USA,MN,Custom-726586,43.65041,-94.42269,354.0,1,usa,fairmont.muni.ap,43.6504,-94.4227
usa|fairmont.muni.ap|43.6500|-94.4170,Fairmont.Muni.AP,USA,MN,SRC-TMYx,43.65,-94.417,354.0,4,usa,fairmont.muni.ap,43.65,-94.417
usa|fairport|45.6170|-86.6500,Fairport,USA,MI,Custom-997792,45.617,-86.65,186.0,1,usa,fairport,45.617,-86.65
usa|fairport|45.6187|-86.6596,Fairport,USA,MI,SRC-TMYx,45.6187,-86.6596,186.0,4,usa,fairport,45.6187,-86.6596
usa|fairport.harbor-headlands.beach.state.park|41.7604|-81.2858,Fairport.Harbor-Headlands.Beach.State.Park,USA,OH,"Custom-998281, SRC-TMYx",41.76038,-81.28582,176.0,5,usa,fairport.harbor-headlands.beach.state.park,41.7604,-81.2858
usa|faith.muni.ap|45.0319|-102.0192,Faith.Muni.AP,USA,SD,Climate-Normals,45.0319,-102.0192,786.4,1,usa,faith.muni.ap,45.0319,-102.0192
usa|faith.muni.ap|45.0320|-102.0190,Faith.Muni.AP,USA,SD,"Custom-726539, SRC-TMYx",45.032,-102.019,787.0,5,usa,faith.muni.ap,45.032,-102.019
usa|faith.ranch.ap|28.2090|-100.0190,Faith.Ranch.AP,USA,TX,"Custom-720742, SRC-TMYx",28.209,-100.019,235.6,5,usa,faith.ranch.ap,28.209,-100.019
usa|fall.river.harbor|41.7000|-71.0000,Fall.River.Harbor,USA,MA,Custom-997279,41.7,-71.0,10.0,1,usa,fall.river.harbor,41.7,-71.0
usa|fall.river.harbor|41.7043|-71.1640,Fall.River.Harbor,USA,MA,SRC-TMYx,41.7043,-71.164,10.0,4,usa,fall.river.harbor,41.7043,-71.164
usa|falls city-brenner field ap|40.0830|-95.6000,Falls City-Brenner Field AP,USA,NE,TMY3,40.083,-95.6,300.0,1,usa,falls city-brenner field ap,40.083,-95.6
usa|falls.city-brenner.field.ap|40.0803|-95.5919,Falls.City-Brenner.Field.AP,USA,NE,Climate-Normals,40.0803,-95.5919,298.7,1,usa,falls.city-brenner.field.ap,40.0803,-95.5919
usa|falls.city-brenner.field.ap|40.0800|-95.5920,Falls.City-Brenner.Field.AP,USA,NE,"Custom-725533, SRC-TMYx",40.08,-95.592,300.0,5,usa,falls.city-brenner.field.ap,40.08,-95.592
usa|false.pass.ap|54.8500|-163.4170,False.Pass.AP,USA,AK,"Custom-700638, SRC-TMYx",54.85,-163.417,6.0,5,usa,false.pass.ap,54.85,-163.417
usa|farewell.ap|62.5167|-153.8833,Farewell.AP,USA,AK,SRC-TMYx,62.51667,-153.8833,458.0,1,usa,farewell.ap,62.5167,-153.8833
usa|farewell.lake.seaplane.base|62.5424|-153.6236,Farewell.Lake.Seaplane.Base,USA,AK,"Custom-702312, SRC-TMYx",62.54237,-153.6236,321.0,4,usa,farewell.lake.seaplane.base,62.5424,-153.6236
usa|fargo-hector intl ap|46.9330|-96.8170,Fargo-Hector Intl AP,USA,ND,TMY3,46.933,-96.817,274.0,1,usa,fargo-hector intl ap,46.933,-96.817
usa|fargo-hector.intl.ap|46.9253|-96.8111,Fargo-Hector.Intl.AP,USA,ND,Climate-Normals,46.9253,-96.8111,274.3,3,usa,fargo-hector.intl.ap,46.9253,-96.8111
usa|fargo-hector.intl.ap|46.9000|-96.8000,Fargo-Hector.Intl.AP,USA,ND,Custom-727530,46.9,-96.8,274.3,1,usa,fargo-hector.intl.ap,46.9,-96.8
usa|fargo-hector.intl.ap|46.9250|-96.8110,Fargo-Hector.Intl.AP,USA,ND,SRC-TMYx,46.925,-96.811,274.3,4,usa,fargo-hector.intl.ap,46.925,-96.811
usa|faribault muni ap|44.3330|-93.3170,Faribault Muni AP,USA,MN,TMY3,44.333,-93.317,322.0,1,usa,faribault muni ap,44.333,-93.317
usa|faribault.muni.ap|44.3290|-93.3068,Faribault.Muni.AP,USA,MN,Custom-726563,44.32897,-93.30676,323.0,1,usa,faribault.muni.ap,44.329,-93.3068
usa|faribault.muni.ap|44.3330|-93.3170,Faribault.Muni.AP,USA,MN,SRC-TMYx,44.333,-93.317,323.0,4,usa,faribault.muni.ap,44.333,-93.317
usa|farmingdale-republic ap|40.7170|-73.4170,Farmingdale-Republic AP,USA,NY,TMY3,40.717,-73.417,26.0,1,usa,farmingdale-republic ap,40.717,-73.417
usa|farmingdale-republic.ap|40.7342|-73.4169,Farmingdale-Republic.AP,USA,NY,Climate-Normals,40.7342,-73.4169,24.7,1,usa,farmingdale-republic.ap,40.7342,-73.4169
usa|farmingdale-republic.ap|40.7340|-73.4170,Farmingdale-Republic.AP,USA,NY,"Custom-744864, SRC-TMYx",40.734,-73.417,25.0,5,usa,farmingdale-republic.ap,40.734,-73.417
usa|farmington rgnl ap|37.7640|-90.4280,Farmington Rgnl AP,USA,MO,TMY3,37.764,-90.428,274.0,1,usa,farmington rgnl ap,37.764,-90.428
usa|farmington-four corners rgnl ap|36.7500|-108.2330,Farmington-Four Corners Rgnl AP,USA,NM,TMY3,36.75,-108.233,1675.0,1,usa,farmington-four corners rgnl ap,36.75,-108.233
usa|farmington-four.corners.rgnl.ap|36.7436|-108.2292,Farmington-Four.Corners.Rgnl.AP,USA,NM,Climate-Normals,36.7436,-108.2292,1674.9,3,usa,farmington-four.corners.rgnl.ap,36.7436,-108.2292
usa|farmington-four.corners.rgnl.ap|36.7440|-108.2290,Farmington-Four.Corners.Rgnl.AP,USA,NM,"Custom-723658, SRC-TMYx",36.744,-108.229,1678.0,5,usa,farmington-four.corners.rgnl.ap,36.744,-108.229
usa|farmington.rgnl.ap|37.7667|-90.4000,Farmington.Rgnl.AP,USA,MO,Climate-Normals,37.7667,-90.4,274.0,1,usa,farmington.rgnl.ap,37.7667,-90.4
usa|farmington.rgnl.ap|37.7610|-90.4290,Farmington.Rgnl.AP,USA,MO,"Custom-724454, SRC-TMYx",37.761,-90.429,289.0,5,usa,farmington.rgnl.ap,37.761,-90.429
usa|farmville rgnl ap|37.3500|-78.4330,Farmville Rgnl AP,USA,VA,TMY3,37.35,-78.433,125.0,1,usa,farmville rgnl ap,37.35,-78.433
usa|farmville.rgnl.ap|37.3580|-78.4380,Farmville.Rgnl.AP,USA,VA,"Custom-724017, SRC-TMYx",37.358,-78.438,127.0,5,usa,farmville.rgnl.ap,37.358,-78.438
